Ref Alias,Evidence Alias,Evidence Alias 2,Evidence Alias 3,Evidence Alias 4
adjustcontact,adjust_contact_t,,,
adjustcontactl,adjust_contact_l,Adjustcontactmismatch,,
"adjustcontactl,r",adjust_contact_l_r,Handheldselectionmismatch,,
"adjustcontactl,r,t",adjust_contact_l_r_t,Powermismatch,,
"adjustcontactl,t",adjust_contact_l_t,RRT,,
adjustcontactr,adjust_contact_r,RRTmismatch,,
"adjustcontactr,t",adjust_contact_r_t,Selectionmismatch,,
calibration,Selectmismatch,,,
calibration14,Successscreenmismatch,,,
calibration15,Wireselection,,,
calibration16,Wireselectionmismatch,,,
cellular,search_cell_signal,cellular,cellular_search,search_for_cell_signal
chooselanguage,choose_language,,,_verifyimage
datatransmission,sending_data,,,
errorscreendisabled1reference,error,,,
errorscreenenabled,,,,
handheldselection,get_ready,,,
informationsent,sent_information,,,
interrogation,hold_and_wait,,,
language214,language_list1,list1,,
language215,language_list2,list2,,
language218,language_list3,list3,,
language220,language_list4,list4,,
language221,language_list5,list5,,
language222,language_list6,list6,,
language223,language_list7,list7,,
language224,language_list8,list8,adjustcontactHandheld,
loadingscreenenglish,loading,adjustcontactwire,,
lowbattery,low_battery,adjustcontactwiremismatch,,
power,turn_off_unit,,,
profiledownload,setting_up,setting_up_unit,,
selectedlanguage,selected_language,,,
selection,select_use," ",,
shutdowntransition_ous,shutting_down,,,
startdisabled,start_disabled,,,
startdisabled1,datatransmissionmismatch,,,
startsession,start_session,,,
startsetup,start_setup,,,
strapwire1,adjust_contact_1,gui_size_orientation,,
"strapwire1,2",adjust_contact_1_2,handheldselectionmismatch,,
"strapwire1,2,3",adjust_contact_1_2_3,,,
"strapwire1,3",adjust_contact_1_3,informationsentmismatch,,
strapwire2,adjust_contact_2,,,
"strapwire2,3",adjust_contact_2_3,instructionHandHeld,,
strapwire3,adjust_contact_3,,,
strapwire4,,,,
strapwire5,,,,
strapwire6,,,,
strapwire7,,,,
strapwire8,,,,
strapwire9,,,,
successbatteryrec,rrt_upload_success,,,
successscreen34,upload_success,,,
successscreen35,,,,
successscreen36,,,,
successscreenbutton,setting_up_success,success,,
thumbs,,,,
transitionscreen,begin_session,,,
uiinstallation,installing_update,,,
updatescreen,updating_unit,,,
wireinterrogation,communicating,,,
wireselection,connect_wires,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,shutdownmismatch,,,
,shutdowntransitionmismatch,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,successscreenmismatch,,,
,transitionscreenmismatch,,,
,,,,
,,,,
,,,,
,,,,
