Ref Alias,Evidence Alias,Evidence Alias 2,Evidence Alias 3
adjustcontact,Powermismatch,,
adjustcontactl,Selectmismatch,,
"adjustcontactl,r",Successscreenmismatch,,
"adjustcontactl,r,t",adjust_contact_1,,
"adjustcontactl,t",adjust_contact_1_2,,
adjustcontactr,adjust_contact_1_2_3,,
"adjustcontactr,t",adjust_contact_1_3,,
calibration,adjust_contact_2,,
calibration14,adjust_contact_2_3,,
calibration15,adjust_contact_3,,
calibration16,adjust_contact_l,,
cellular,cellular_search,ok,
chooselanguage,choose_language,ok,
datatransmission,sending_data,ok,
errorscreendisabled1reference,adjust_contact_r,,
errorscreenenabled,adjust_contact_r_t,,
handheldselection,get_ready,ok,
informationsent,sent_information,ok,
interrogation,hold_and_wait,ok,
language214,cellular_search,,
language215,list2,ok,
language218,list3,ok,
language220,list4,ok,
language221,error,,
language222,list6,ok,
language223,gui_size_orientation,,
language224,list8,ok,
loadingscreenenglish,loading,ok,
lowbattery,language_list1,,
power,language_list2,,
profiledownload,setting_up,,
selectedlanguage,language_list4,,
selection,language_list5,,
shutdowntransition_ous,language_list6,,
startdisabled,language_list7,,
startdisabled1,language_list8,,
startsession,list1,,
startsetup,list2,,
strapwire1,adjust_contact_1,,
"strapwire1,2",list4,,
"strapwire1,2,3",adjust_contact_1_2_3,ok,
"strapwire1,3",adjust_contact_1_3,ok,
strapwire2,adjust_contact_2,,
"strapwire2,3",adjust_contact_1_2_3,ok,
strapwire3,adjust_contact_3,ok,
strapwire4,low_battery,,
strapwire5,search_cell_signal,,
strapwire6,search_for_cell_signal,,
strapwire7,adjust_contact_2,ok,
strapwire8,selected_language,,
strapwire9,sending_data,,
successbatteryrec,sent_information,,
successscreen34,setting_up,,
successscreen35,setting_up_success,,
successscreen36,setting_up_unit,,
successscreenbutton,setting_up_success,ok,
transitionscreen,start_disabled,,
uiinstallation,start_session,,
updatescreen,start_setup,,
wireinterrogation,communicating,,
wireselection,connect_wires,ok,
-,updating_unit,,
-,upload_success,,
