Reference ID,Language,Pic Map Name,Full Path,Hash Value
0,Arabic,"AdjustContactL,R,T","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Adjust Contact – L,R,T.png",2fea8d7cac7fc3e1b82c07b9c9b4a0b4
1,Arabic,"AdjustContactL,R","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Adjust Contact – L,R.png",a5b5cd6ceeb8f17570a72772d01a5386
2,Arabic,"AdjustContactL,T","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Adjust Contact – L,T.png",fcf5113eb07c39885d310831c37fa509
3,Arabic,AdjustContactL,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Adjust Contact – L.png,73dbe51efa39c4590b640d4f9a3d3a52
4,Arabic,"AdjustContactR,T","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Adjust Contact – R,T.png",e89f04eee62f79b5c48c11c988b2a6ce
5,Arabic,AdjustContactR,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Adjust Contact – R.png,74baf4f9c5ad668e2b726a875495e709
6,Arabic,AdjustContact,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Adjust Contact.png,52c48615f8569e05c612fb40fa85f83b
7,Arabic,Calibration14,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Calibration – 14.png,fda17c39f02a8dcf88b7a3f169be84f0
8,Arabic,Calibration,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Calibration.png,e18a1dc41ea95e7cca8ee29343a338c6
9,Arabic,Cellular,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Cellular.png,99490fe655a47f12ac1b08532adda181
10,Arabic,ChooseLanguage,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Choose Language.png,5d7599b4029ce956ee722c5c4b39fa93
11,Arabic,DataTransmission,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Data Transmission.png,7451fd1579e8f8a656ed22d8dc2a04c7
12,Arabic,ErrorScreendisabled1reference,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Error Screen – disabled1 reference.png,692fd331cdc5be4f33829c6309865880
13,Arabic,ErrorScreenenabled,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Error Screen – enabled.png,fd1128e8bf356773a951b9fa2dcd15e6
14,Arabic,HandHeldSelection,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Hand-Held Selection.png,7b564f3f44bcbfda0a15a3a6285ecaba
15,Arabic,InformationSent,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Information Sent.png,7e0b054206da587fb992e75dffd70ebe
16,Arabic,Interrogation,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Interrogation.png,6b64df7062356df7959b1d4d56935505
17,Arabic,Language214,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Language – 214.png,7e558d4a71a8588ed45f632bad6e4baf
18,Arabic,Language215,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Language – 215.png,4456494853e0f0c64e1bc911af8579a7
19,Arabic,Language218,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Language – 218.png,a79a9b75a8fc6b09619e677b250ef963
20,Arabic,Language220,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Language – 220.png,9e979c05c281ad600459fd0ca5e6fe3f
21,Arabic,Language221,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Language – 221.png,7d6f3da2f01ee19f7312a2ecc68d5cd5
22,Arabic,Language222,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Language – 222.png,93fde668a51ff542a707471ff840c813
23,Arabic,Language223,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Language – 223.png,e972affccfd34211d5a14ff458bdf251
24,Arabic,Language224,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Language – 224.png,d2ab494c7f8befd6f2103cd6f461e69b
25,Arabic,LoadingScreenEnglish,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Loading Screen - English.png,10ae02e7c4b6911d16581d697cb79eaa
26,Arabic,LowBattery,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Low Battery.png,1d86b45ceab103654a4132c8c6835daa
27,Arabic,Power,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Power.png,b5df7abc271f8dad9292350e30c4aa46
28,Arabic,ProfileDownload,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Profile Download.png,7adfc436976b16809ca6b7be9907b170
29,Arabic,SelectedLanguage,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Selected Language.png,186b9debbe59488e6e9d723d5e5e1078
30,Arabic,Selection,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Selection.png,99b070e0d36d2a6aaf8afe633cbf70e0
31,Arabic,ShutDownTransition_OUS,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Shut Down Transition_OUS.png,5064dbfa13e072be97e13d84f881a8e0
32,Arabic,StartSession,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Start - Session.png,0cf047ce901278258e52e0af4811dfb6
33,Arabic,StartSetup,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Start - Setup.png,83c2016df51f24569fd227338f6b669a
34,Arabic,StartDisabled1,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Start Disabled-1.png,0ac52896081085995709e1a8fc288a8f
35,Arabic,StartDisabled,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Start Disabled.png,d53c3f29282b208c7beb1add29139082
36,Arabic,"StrapWire1,2,3","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Strap & Wire 1,2,3.png",f63bd41e3b3ac4359c693fc22b4ec79d
37,Arabic,"StrapWire1,2","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Strap & Wire 1,2.png",881b52989790dea751f40c0e94b814ed
38,Arabic,"StrapWire1,3","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Strap & Wire 1,3.png",180a9ccdfbd5387a4454e1c09673142f
39,Arabic,StrapWire1,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Strap & Wire 1.png,b33b34548083836347f5487cf16d8c3d
40,Arabic,"StrapWire2,3","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Strap & Wire 2,3.png",64b97b20b217c1f37ab2cc8b0c765e41
41,Arabic,StrapWire2,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Strap & Wire 2.png,57de7838f4759d483af44da0650cbf5d
42,Arabic,StrapWire3,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Strap & Wire 3.png,fd072f7234c197b37049a718de155f0f
43,Arabic,SuccessBatteryRec,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Success Battery Rec.png,46c2ea85e3729bc252fe9a4f542ea9e6
44,Arabic,SuccessScreen34,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Success Screen – 34.png,346851eeb99871b9187b6ecbc8cb9618
45,Arabic,SuccessScreenbutton,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Success Screen – button.png,2616338011b8226aa0739c523cb51728
46,Arabic,TransitionScreen,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Transition Screen.png,a4dd4b8596295182b4f769fdd9cbb469
47,Arabic,UIInstallation,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\UI Installation.png,5f72405010735521db36d95f5899e022
48,Arabic,UpdateScreen,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Update Screen.png,7649852d1392a5bd83c9f26aeaad249b
49,Arabic,WireInterrogation,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Wire Interrogation.png,1f90e99e99075a8be4a4ba24c2a73b5e
50,Arabic,WireSelection,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Arabic\Wire Selection.png,5c937f63122e478e7095fa85a8c855c6
51,Czech,"AdjustContactL,R,T","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Adjust Contact – L,R,T.png",cddb92885e9a4fd08305b3d582257d90
52,Czech,"AdjustContactL,R","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Adjust Contact – L,R.png",25cab11c7dc24fe9df5e08b2a7d764f6
